dataset_name,K-Means,Agglomerative,Birch,SOM
ArrowHead,0.24280187171840603,0.22157707413243702,0.20468458053305602,0.1713662361073
Beef,0.39359869584093904,0.39359869584093904,0.39359869584093904,0.348139973884519
Coffee,0.0019218782164180002,0.220469044444939,0.220469044444939,0.12404307986382701
Earthquakes,0.0007582840513340001,0.00027321414416300004,0.00027321414416300004,0.005658971887470001
ECG200,0.088470073401077,0.11184480679943101,0.11184480679943101,0.12627968282322702
ECG5000,0.5393852718681671,0.556647452221762,0.556647452221762,0.539376561318302
FacesUCR,1.253367456512965,1.21128632440273,1.228874188182887,1.181113248639783
Fungi,2.503580328563922,2.5463820187675923,2.5463820187675923,2.286572916953096
GunPoint,0.0,0.0,0.0,0.0
Herring,0.0022568713001850003,0.013546637326623001,0.013546637326623001,0.001140308159567
InsectEPGRegularTrain,0.651621447049727,0.651621447049727,0.651621447049727,0.651621447049727
MiddlePhalanxOutlineCorrect,0.004057031278861,0.0035841232544540002,0.0035841232544540002,0.0023096471840390004
Plane,1.705794936617473,1.705794936617473,1.705794936617473,1.5144350008635041
ProximalPhalanxOutlineAgeGroup,0.546383191500116,0.537169122482131,0.537169122482131,0.488331181136802
SonyAIBORobotSurface2,0.11008085077895201,0.14567989954006902,0.14567989954006902,0.142785677757268
Strawberry,0.066329783751522,0.065917658156776,0.055353356770021005,0.025200895566398002
SwedishLeaf,1.415093303745048,1.405473483017498,1.450862906971627,1.235378434409699
Symbols,1.3075799338138,1.31079693361741,1.310284641661121,1.31556735909906
SyntheticControl,1.039773287767487,1.037610972593026,1.037610972593026,1.029191468144698
Trace,0.694852489448443,0.701321748356694,0.701321748356694,0.6969126104722411
